Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
MEIS2	CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR	AD	neurologicCentralNervousSystem, cardiovascularVascular, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, headAndNeckMouth, headAndNeckFace, cardiovascularHeart, skeletalHands, headAndNeckEyes, respiratoryLung, neurologicBehavioralPsychiatricManifestations
MYL4	ATRIAL FIBRILLATION, FAMILIAL, 18; ATFB18	AD	cardiovascularHeart
TGM3	UNCOMBABLE HAIR SYNDROME 2; UHS2	AR	skinNailsHairHair, headAndNeckEyes
MYL2	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 10; CMH10	AD	muscleSoftTissue, cardiovascularHeart, respiratory, neurologicCentralNervousSystem
MYL3	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 8; CMH8	AD	muscleSoftTissue, cardiovascularHeart, respiratory, cardiovascularVascular
SCASI	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 4; SCAR4	AR	neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEyes, muscleSoftTissue, skeletalFeet, neurologicPeripheralNervousSystem
MYL1	MYOPATHY, CONGENITAL, WITH FAST-TWITCH (TYPE II) FIBER ATROPHY; MYOFTA	AR	respiratory, headAndNeckHead, cardiovascularHeart, skeletal, headAndNeckMouth, neurologicPeripheralNervousSystem, prenatalManifestationsMovement, laboratoryAbnormalities, muscleSoftTissue, headAndNeckNeck, neurologicCentralNervousSystem
ATP2C1	BENIGN CHRONIC PEMPHIGUS; BCPM	AD	skinNailsHairSkin, skinNailsHairSkinHistology
GHSR	GROWTH HORMONE DEFICIENCY, ISOLATED PARTIAL; GHDP	AD	skeletal, growthOther, neurologicCentralNervousSystem, growthHeight, endocrineFeatures
SLC30A2	ZINC DEFICIENCY, TRANSIENT NEONATAL; TNZD	AD	skinNailsHairSkin, skinNailsHairHair, laboratoryAbnormalities
HYT1	HYPERTENSION, ESSENTIAL	Multifactorial	cardiovascularVascular
IGAN2	IgA NEPHROPATHY, SUSCEPTIBILITY TO, 2; IGAN2	AD	cardiovascularVascular, immunology, genitourinaryKidneys, laboratoryAbnormalities, skeletal
POC1A	SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT	AR	growthOther, chestBreasts, skeletalPelvis, growthWeight, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, voice, skeletalLimbs, headAndNeckHead, neurologicCentralNervousSystem, endocrineFeatures, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckTeeth, skeletalSpine, skinNailsHairNails, genitourinaryExternalGenitaliaFemale, skinNailsHairHair
LINGO1	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 64; MRT64	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal
DEL15q14	CHROMOSOME 15q14 DELETION SYNDROME	AD	headAndNeckFace, cardiovascularHeart, neurologicCentralNervousSystem, headAndNeckEyes, headAndNeckEars, neurologicBehavioralPsychiatricManifestations, headAndNeckMouth
SELENBP1	EXTRAORAL HALITOSIS DUE TO METHANETHIOL OXIDASE DEFICIENCY; EHMTO	AR	headAndNeckMouth, laboratoryAbnormalities
BHLHE41	SHORT SLEEPER	AD	neurologicCentralNervousSystem
PARK7	PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK7	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckEyes
EML1	BAND HETEROTOPIA; BH	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckHead
RORC	IMMUNODEFICIENCY 42; IMD42	AR	skinNailsHairSkin, immunology, headAndNeckMouth, skinNailsHairNails
S1PR2	DEAFNESS, AUTOSOMAL RECESSIVE 68; DFNB68	AR	headAndNeckEars
BOS2	BRANCHIOOTIC SYNDROME 2	AD	headAndNeckEars, headAndNeckMouth
MAPK8IP1	DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM	AD	
POU6F2	WILMS TUMOR 5; WT5	AD	genitourinaryKidneys, neoplasia
{136850.0001})	FUMARASE DEFICIENCY; FMRD	AR	skinNailsHairSkin, growthOther, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckMouth, hematology, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures, abdomenLiver
MCOPCT1	MICROPHTHALMIA, ISOLATED, WITH CATARACT 1; MCOPCT1	AD	
YARS	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE C; CMTDIC	AD	skeletalFeet, neurologicPeripheralNervousSystem
MAGI2	NEPHROTIC SYNDROME, TYPE 15; NPHS15	AR	genitourinaryKidneys, laboratoryAbnormalities
MYRF	ENCEPHALITIS/ENCEPHALOPATHY, MILD, WITH REVERSIBLE MYELIN VACUOLIZATION; MMERV | CARDIAC-UROGENITAL SYNDROME; CUGS	AD	abdomenGastrointestinal, cardiovascularHeart, abdomenLiver, respiratoryLung, chestDiaphragm, headAndNeckNeck, abdomenSpleen, genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, genitourinaryInternalGenitaliaMale, genitourinaryBladder, respiratoryAirways, genitourinaryInternalGenitaliaFemale
HYT4	HYPERTENSION, ESSENTIAL	Multifactorial	cardiovascularVascular
STAT2	IMMUNODEFICIENCY 44; IMD44	AR	muscleSoftTissue, neurologicCentralNervousSystem, immunology, laboratoryAbnormalities
HUWE1	MENTAL RETARDATION, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST	X-linked	skeletalSkull, growthOther, growthWeight, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, headAndNeckHead, neurologicCentralNervousSystem, skeletal, chestExternalFeatures, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, skeletalSpine, muscleSoftTissue, skinNailsHairHair
CETP	HYPERALPHALIPOPROTEINEMIA 1; HALP1	AD	laboratoryAbnormalities
SYT14	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11; SCAR11	AR	neurologicCentralNervousSystem, headAndNeckEyes, abdomenGastrointestinal
LAS1L	WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME; WTS	XLR	genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, skeletalHands, growthWeight, skeletalFeet, genitourinaryInternalGenitaliaMale, headAndNeckEyes
ACRPV	ACROPECTOROVERTEBRAL DYSPLASIA; ACRPV	AD	
NARS2	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24; COXPD24 | DEAFNESS, AUTOSOMAL RECESSIVE 94; DFNB94	AR	neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, genitourinaryKidneys
EXTL3	IMMUNOSKELETAL DYSPLASIA WITH NEURODEVELOPMENTAL ABNORMALITIES; ISDNA	AR	skinNailsHairSkin, skeletalSkull, skeletalPelvis, abdomenGastrointestinal, growthHeight, headAndNeckFace, abdomenLiver, skeletalHands, headAndNeckEyes, skeletalLimbs, neurologicCentralNervousSystem, immunology, respiratoryAirways, chestRibsSternumClaviclesAndScapulae, headAndNeckNose, skeletalSpine, muscleSoftTissue
C10ORF2	PERRAULT SYNDROME 5; PRLTS5 | PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 3; PEOA3	AR, AD	neurologicCentralNervousSystem, endocrineFeatures, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, headAndNeckMouth, neurologicPeripheralNervousSystem, cardiovascularHeart, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, voice, genitourinaryInternalGenitaliaFemale
ETFDH	MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD	AR	
THO	MENTAL RETARDATION, X-LINKED 12; MRX12 | BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS	AR, XLR	growthWeight, cardiovascularHeart, growthHeight, headAndNeckFace, headAndNeckNose, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, headAndNeckHead, genitourinaryKidneys, genitourinaryBladder, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, genitourinaryInternalGenitaliaFemale
ANXA11	AMYOTROPHIC LATERAL SCLEROSIS 23; ALS23	AD	neurologicCentralNervousSystem
SLC25A20	CARNITINE-ACYLCARNITINE TRANSLOCASE DEFICIENCY; CACTD	AR	muscleSoftTissue, abdomenLiver, neurologicCentralNervousSystem, laboratoryAbnormalities, cardiovascularHeart, respiratory, metabolicFeatures
PH	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4H; CMT4H	AR	skeletalFeet, neurologicPeripheralNervousSystem, skeletalSpine
SLC25A26	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 28; COXPD28	AR	muscleSoftTissue, respiratory, cardiovascularVascular, laboratoryAbnormalities, neurologic, cardiovascularHeart, metabolicFeatures
PNPLA8	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS; MMLA	AR	neurologicCentralNervousSystem, growthWeight, laboratoryAbnormalities, muscleSoftTissue, voice, metabolicFeatures
SLC25A24	FONTAINE PROGEROID SYNDROME; FPS	AD	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, skeletalPelvis, skeletalSkull, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckNeck, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckMouth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, genitourinaryExternalGenitaliaFemale, abdomenExternalFeatures, growthOther, chestBreasts, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, growthHeight, prenatalManifestationsMovement, headAndNeckEyes, respiratoryLung, skinNailsHairNails, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckTeeth, skeletalSpine, skinNailsHairHair
ARHGDIA	NEPHROTIC SYNDROME, TYPE 8; NPHS8	AR	muscleSoftTissue, neurologicCentralNervousSystem, genitourinaryKidneys, laboratoryAbnormalities, headAndNeckEars, headAndNeckEyes
VPS35	PARKINSON DISEASE 17; PARK17	AD	neurologicCentralNervousSystem
IL1	MENTAL RETARDATION, X-LINKED 21; MRX21	XLR	neurologicCentralNervousSystem, headAndNeckEars, skeletal, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations
ROR2	BRACHYDACTYLY, TYPE B1; BDB1 | ROBINOW SYNDROME, AUTOSOMAL RECESSIVE; RRS	AR, AD	skinNailsHairSkin, abdomenExternalFeatures, headAndNeckHead, genitourinaryKidneys, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, headAndNeckNeck, skeletalLimbs, skinNailsHairNails, neurologicCentralNervousSystem, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, skeletalSpine, genitourinaryExternalGenitaliaFemale
ROR1	DEAFNESS, AUTOSOMAL RECESSIVE 108; DFNB108	AR	headAndNeckEars
PLA2G4A	GASTROINTESTINAL ULCERATION, RECURRENT, WITH DYSFUNCTIONAL PLATELETS; GURDP	AR	abdomenGastrointestinal
RSPO2	TETRAAMELIA SYNDROME 2; TETAMS2 | HUMEROFEMORAL HYPOPLASIA WITH RADIOTIBIAL RAY DEFICIENCY; HHRRD	AR	chestBreasts, skeletalPelvis, headAndNeckEars, skeletalFeet, headAndNeckFace, skeletalHands, headAndNeckEyes, respiratoryLung, chestDiaphragm, skeletalLimbs, cardiovascularVascular, respiratoryAirways, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, genitourinaryExternalGenitaliaFemale
RSPO1	PALMOPLANTAR HYPERKERATOSIS WITH SQUAMOUS CELL CARCINOMA OF SKIN AND 46,XX SEX REVERSAL	AR	skinNailsHairSkin, chestBreasts, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, skinNailsHairSkinHistology, neoplasia, laboratoryAbnormalities, genitourinaryInternalGenitaliaFemale, genitourinaryExternalGenitaliaFemale, skinNailsHairNails
ATIC	AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE DEFICIENCY	AR	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, headAndNeckMouth, headAndNeckFace, cardiovascularHeart, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, genitourinaryExternalGenitaliaFemale
NIN	SECKEL SYNDROME 7; SCKL7	AR	skeletalSkull, growthOther, chestBreasts, skeletalPelvis, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalLimbs, neurologicCentralNervousSystem, endocrineFeatures, skeletal, skeletalSpine, genitourinaryInternalGenitaliaFemale
RSPO4	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 4; NDNC4	AR	skinNailsHairNails
CDK13	CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD	AD	growthOther, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletal, headAndNeckMouth, headAndNeckFace, cardiovascularHeart, headAndNeckNose, skeletalHands, headAndNeckEyes, muscleSoftTissue, skinNailsHairHair
DHODH	POSTAXIAL ACROFACIAL DYSOSTOSIS; POADS	AR	skeletalSkull, growthOther, chestBreasts, skeletalPelvis, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalLimbs, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, skeletalSpine
FAAHP1	PAIN SENSITIVITY QUANTITATIVE TRAIT LOCUS 1; PAINQTL1	AD	neurologicCentralNervousSystem
MYLK	AORTIC ANEURYSM, FAMILIAL THORACIC 7; AAT7	AD	cardiovascularVascular
KIT	DEAFNESS, AUTOSOMAL DOMINANT 69; DFNA69 | LEUKEMIA, ACUTE MYELOID; AML | TESTICULAR GERM CELL TUMOR; TGCT | MASTOCYTOSIS, CUTANEOUS; MASTC | GASTROINTESTINAL STROMAL TUMOR; GIST | HYPERPIGMENTATION WITH OR WITHOUT HYPOPIGMENTATION, FAMILIAL PROGRESSIVE; FPHH | PIEBALD TRAIT; PBT	Somatic mutation, AD	skinNailsHairSkin, skinNailsHairSkinHistology, skeletalHands, neoplasia, laboratoryAbnormalities, headAndNeckEars, genitourinaryInternalGenitaliaMale, hematology, abdomenGastrointestinal
HPS6	HERMANSKY-PUDLAK SYNDROME 6; HPS6	AR	skinNailsHairSkin, neurologicCentralNervousSystem, abdomenGastrointestinal, genitourinaryInternalGenitaliaFemale, hematology, headAndNeckTeeth, headAndNeckNose, headAndNeckEyes, skinNailsHairHair, respiratoryNasopharynx, skinNailsHairNails
ASL	ARGININOSUCCINIC ACIDURIA	AR	growthOther, neurologicCentralNervousSystem, abdomenGastrointestinal, abdomenLiver, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair, metabolicFeatures
EDAR	ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMAL DOMINANT; ECTD10A | ECTODERMAL DYSPLASIA 10B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL RECESSIVE; ECTD10B	AR, AD	skinNailsHairSkin, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, skinNailsHairHair, metabolicFeatures, skinNailsHairNails
NCAPH	MICROCEPHALY 23, PRIMARY, AUTOSOMAL RECESSIVE; MCPH23	AR	headAndNeckFace, neurologicCentralNervousSystem, headAndNeckHead
MYO5B	DIARRHEA 2, WITH MICROVILLUS ATROPHY; DIAR2	AR	
MYO5A	GRISCELLI SYNDROME, TYPE 1; GS1 | ELEJALDE DISEASE | GRISCELLI SYNDROME, TYPE 3; GS3	AR	skinNailsHairSkin, neurologicCentralNervousSystem, immunology, headAndNeckEyes, neurologic, skinNailsHairHair
COPB2	MICROCEPHALY 19, PRIMARY, AUTOSOMAL RECESSIVE; MCPH19	AR	growthOther, neurologicCentralNervousSystem, growthWeight, headAndNeckHead, growthHeight, headAndNeckEyes
KCNV2	RETINAL CONE DYSTROPHY 3B; RCD3B	AR	headAndNeckEyes
SNTA1	LONG QT SYNDROME 12; LQT12	AD	cardiovascularHeart
MPIG6B	THROMBOCYTOPENIA, ANEMIA, AND MYELOFIBROSIS; THAMY	AR	skinNailsHairSkin, hematology, abdomenSpleen
Contiguous gene deletion syndrome caused by deletion (3.4 kb) of chromosome Xq28 {UMLS C3275434}	MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4	XLR	genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, headAndNeckEars, genitourinaryInternalGenitaliaMale, growthHeight, headAndNeckFace, cardiovascularHeart, headAndNeckNose, skeletalHands, headAndNeckEyes, skinNailsHairHair
APP	ALZHEIMER DISEASE; AD | CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED	AD	neurologicCentralNervousSystem, cardiovascularVascular
KAOGS	KAGAMI-OGATA SYNDROME	Autosomal dominant (loss of maternal allele)	prenatalManifestationsAmnioticFluid, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, skeletalSkull, headAndNeckEars, prenatalManifestationsPlacentaAndUmbilicalCord, respiratoryLarynx, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, headAndNeckEyes, respiratoryLung, abdomenLiver, headAndNeckNeck, prenatalManifestationsDelivery, skeletalLimbs, abdomenSpleen, abdomenExternalFeatures, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, cardiovascularHeart, skeletalSpine, skinNailsHairHair
PLCB1	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 12; EIEE12	AR	neurologicCentralNervousSystem
TSHB	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 4; CHNG4	AR	skeletalSkull, growthOther, neurologicCentralNervousSystem, endocrineFeatures, abdomenExternalFeatures, headAndNeckMouth, headAndNeckNose, laboratoryAbnormalities, muscleSoftTissue, voice
CRX	CONE-ROD DYSTROPHY 2; CORD2	Autosomal dominant (19q13.1-q13.2)	
ADNP	HELSMOORTEL-VAN DER AA SYNDROME; HVDAS	AD	neurologicCentralNervousSystem, immunology, growthWeight, abdomenGastrointestinal, cardiovascularHeart, skeletal, growthHeight, headAndNeckMouth, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, headAndNeckHead
GPX4	SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE; SMDS	AR	skinNailsHairSkin, skeletalSkull, skeletalPelvis, growthWeight, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckNose, skeletalHands, headAndNeckNeck, skeletalLimbs, headAndNeckHead, neurologicCentralNervousSystem, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, cardiovascularHeart, skeletalSpine
C10ORF11	ALBINISM, OCULOCUTANEOUS, TYPE VII; OCA7	AR	skinNailsHairSkin, skinNailsHairHair, headAndNeckEyes
NOP10	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1; DKCB1	AR	skinNailsHairSkin, skinNailsHairNails, headAndNeckHead, abdomenGastrointestinal, skeletal, neurologic, hematology, headAndNeckTeeth, headAndNeckMouth, abdomenLiver, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, skinNailsHairHair, neoplasia
HRM2	HAIR MORPHOLOGY 2; HRM2	AD	
RXYLT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 10; MDDGA10	AR	neurologicCentralNervousSystem, headAndNeckEyes, genitourinaryInternalGenitaliaMale, genitourinaryInternalGenitaliaFemale, abdomen, skeletalLimbs
ABCD1	ADRENOLEUKODYSTROPHY; ALD	XLR	genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, endocrineFeatures, abdomenGastrointestinal, headAndNeckEars, neurologicPeripheralNervousSystem, genitourinaryBladder, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations
TSHR	HYPERTHYROIDISM, NONAUTOIMMUNE | HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 1; CHNG1	AR, AD	skinNailsHairSkin, neurologicCentralNervousSystem, immunology, endocrineFeatures, cardiovascularHeart, skeletal, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, prenatalManifestationsDelivery, growthWeight
ECA1	EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 1; ECA1	AD	neurologicCentralNervousSystem
AP4B1	SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47	AR	neurologicCentralNervousSystem, skeletalPelvis, headAndNeckHead, skeletal, growthHeight, headAndNeckMouth, headAndNeckFace, headAndNeckNose, skeletalFeet, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skeletalLimbs
B9D2	MECKEL SYNDROME, TYPE 10; MKS10	AR	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, skeletalFeet, abdomenBiliaryTract, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skeletalHands, headAndNeckEyes, skeletalLimbs, genitourinaryKidneys
B9D1	MECKEL SYNDROME, TYPE 9; MKS9 | JOUBERT SYNDROME 27; JBTS27	AR	genitourinaryBladder, neurologicCentralNervousSystem, genitourinaryKidneys, abdomenExternalFeatures, skeletalFeet, genitourinaryExternalGenitaliaMale, headAndNeckFace, headAndNeckEyes, muscleSoftTissue, skeletalLimbs
JARID1C	MENTAL RETARDATION, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ	XLR	headAndNeckHead, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, skinNailsHairHair, chestExternalFeatures
PR	EPILEPSY, PROGRESSIVE MYOCLONIC, 10; EPM10 | LEFT VENTRICULAR NONCOMPACTION 8; LVNC8 | NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VIII; HSAN8 | PATENT DUCTUS ARTERIOSUS 3; PDA3	AR, AD	skinNailsHairSkin, genitourinaryBladder, neurologicCentralNervousSystem, cardiovascularVascular, cardiovascularHeart, skeletalFeet, headAndNeckMouth, neurologicPeripheralNervousSystem, headAndNeckFace, skinNailsHairSkinHistology, skeletalHands, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
SDHAF1	MITOCHONDRIAL COMPLEX II DEFICIENCY	AR	growthOther, neurologicCentralNervousSystem, cardiovascularHeart, skeletal, growthHeight, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures
3.3% {UMLS C1860800}	DOWN SYNDROME	Isolated cases	skinNailsHairSkin, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, growthHeight, hematology, headAndNeckFace, skeletalHands, neoplasia, skeletalLimbs, neurologicCentralNervousSystem, endocrineFeatures, headAndNeckMouth, cardiovascularHeart, skeletalSpine, headAndNeckEyes
SUMF1	MULTIPLE SULFATASE DEFICIENCY; MSD	AR	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckEars, skeletal, growthHeight, headAndNeckNose, headAndNeckFace, abdomenLiver, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, abdomenSpleen
GLDN	LETHAL CONGENITAL CONTRACTURE SYNDROME 11; LCCS11	AR	headAndNeckFace, prenatalManifestationsAmnioticFluid, prenatalManifestationsMovement, skeletalHands, respiratoryLung, skeletalLimbs, neurologicPeripheralNervousSystem
NONO	MENTAL RETARDATION, X-LINKED, SYNDROMIC 34; MRXS34	X-linked	skeletalSkull, growthOther, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, skeletalSpine, muscleSoftTissue, voice
WNK	PSEUDOHYPOALDOSTERONISM, TYPE IIC; PHA2C | PSEUDOHYPOALDOSTERONISM, TYPE IIB; PHA2B	AD	cardiovascularVascular, laboratoryAbnormalities, metabolicFeatures
GLDC	GLYCINE ENCEPHALOPATHY; GCE	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, laboratoryAbnormalities
HECT	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38; MRT38 | NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, SEIZURES, AND ABSENT LANGUAGE; NDHSAL | MENTAL RETARDATION, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST | SPASTIC PARAPLEGIA AND PSYCHOMOTOR RETARDATION WITH OR WITHOUT SEIZURES; SPPRS | MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR	AR, AD, X-linked	skeletalSkull, growthOther, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, headAndNeckNeck, skeletalLimbs, growthWeight, neurologicCentralNervousSystem, skeletal, chestExternalFeatures, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, skeletalSpine, muscleSoftTissue, skinNailsHairHair
SLC25A12	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 39; EIEE39	AR	muscleSoftTissue, respiratory, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities
